file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
4077094,14.1153,0.0008,9.1914,0.0006,24.6864,0.0015,90,,104.046,0.001,90,,3107,0.3,203,2,203,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C34 H43 Cl N2 U -,- C34 H43 Cl N2 U -,- C136 H172 Cl4 N8 U4 -,4,1
4077095,13.1069,0.001,11.9922,0.0008,10.954,0.0008,90,,90,,90,,1721.8,0.2,203,2,203,2,7,P m n 21,P 2ac -2,31,,,,- C35 H43 F3 N2 O3 S U -,- C37 F3 N2 O3 S U -,- C74 F6 N4 O6 S2 U2 -,2,0.5
4077675,10.5712,0.0017,15.2271,0.0016,15.605,0.003,79.574,0.012,74.864,0.017,71.81,0.01,2290,0.7,294,,294,,5,P -1,-P 1,2,,,,- C50.75 H38 Cl3.5 Fe2 Ti -,- C50.75 H38 Cl3.5 Fe2 Ti -,- C101.5 H76 Cl7 Fe4 Ti2 -,2,1
4078357,11.374,0.005,11.374,0.005,18.75,0.005,90,,90,,90,,2425.6,1.6,223,2,223,2,5,P 41 21 2,P 4abw 2nw,92,,,,- C24 H32 Fe N2 O6 -,- C24 H32 Fe N2 O6 -,- C96 H128 Fe4 N8 O24 -,4,0.5
4078358,10.084,0.002,11.182,0.002,14.364,0.003,90,,92.2,0.02,90,,1618.5,0.5,223,2,223,2,5,P 1 21 1,P 2yb,4,,,,- C17 H21 Fe N O3 -,- C17 H21 Fe N O3 -,- C68 H84 Fe4 N4 O12 -,4,2
4079447,16.6441,0.0006,17.5923,0.0006,16.9473,0.0006,90,,109.863,0.0004,90,,4667.1,0.3,88,2,88,2,3,P 1 21/c 1,-P 2ybc,14,,,,- C26 H40 U -,- C26 H40 U -,- C208 H320 U8 -,8,2
4079448,8.459,0.0008,17.0606,0.0016,16.0282,0.0015,90,,101.371,0.001,90,,2267.7,0.4,143,2,143,2,4,P 1 21/n 1,-P 2yn,14,,,,- C24 H37 Cl U -,- C24 H37 Cl U -,- C96 H148 Cl4 U4 -,4,1
4079449,8.4244,0.0005,20.0795,0.0012,15.6383,0.001,90,,97.9538,0.0006,90,,2619.9,0.3,143,2,143,2,4,P 1 21/n 1,-P 2yn,14,,,,- C28 H40 O4 U -,- C28 H40 O4 U -,- C112 H160 O16 U4 -,4,1
4079450,16.4323,0.0008,14.4904,0.0007,21.0299,0.001,90,,97.6487,0.0005,90,,4962.9,0.4,88,2,88,2,3,C 1 2/c 1,-C 2yc,15,,,,- C28 H44 U -,- C28 H44 U -,- C224 H352 U8 -,8,1
4080665,9.5714,0.0003,6.864,0.0002,9.3036,0.0003,90,,90,,90,,611.23,0.03,297,2,297,2,6,P m n m :2,-P 2c 2a,59,,,,- C10 H10 B Cl2 F4 Mo -,- C10 H10 B Cl2 F4 Mo -,- C20 H20 B2 Cl4 F8 Mo2 -,2,0.25
4080666,13.274,0.0005,13.0986,0.0004,12.0574,0.0005,90,,107.013,0.004,90,,2004.69,0.13,297,2,297,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C10 H10 Cl2 Mo -,- C10 H10 Cl2 Mo -,- C80 H80 Cl16 Mo8 -,8,2
4080712,8.3847,0.0004,22.048,0.001,29.1904,0.0013,90,,90,,90,,5396.3,0.4,83,2,83,2,4,P b c a,-P 2ac 2ab,61,,,,- C24 H39 La Si3 -,- C24 H39 La Si3 -,- C192 H312 La8 Si24 -,8,1
4080713,12.7444,0.0007,13.6852,0.0007,16.2057,0.0008,93.4058,0.0006,94.5966,0.0006,106.67,0.0006,2688.9,0.2,143,2,143,2,5,P -1,-P 1,2,,,,- C25 H39 La O Si2 -,- C25 H39 La O Si2 -,- C100 H156 La4 O4 Si8 -,4,2
4080714,25.766,0.002,13.5773,0.0011,17.9154,0.0015,90,,90,,90,,6267.4,0.9,143,2,143,2,5,P n a 21,P 2c -2n,33,,,,- C28 H47 La O Si3 -,- C28 H47 La O Si3 -,- C224 H376 La8 O8 Si24 -,8,2
4080715,8.1546,0.0004,22.3062,0.0011,28.6176,0.0014,90,,90,,90,,5205.5,0.4,83,2,83,2,4,P b c a,-P 2ac 2ab,61,,,,- C24 H39 Lu Si3 -,- C24 H39 Lu Si3 -,- C192 H312 Lu8 Si24 -,8,1
4080716,10.7315,0.0006,12.7032,0.0007,17.8457,0.001,101.1,0.0006,99.6938,0.0006,107.192,0.0005,2213.8,0.2,143,2,143,2,4,P -1,-P 1,2,,,,- C82 H130 Lu4 Si8 -,- C82 H130 Lu4 Si8 -,- C82 H130 Lu4 Si8 -,1,0.5
4080717,13.8245,0.0008,19.0919,0.0012,19.5594,0.0012,87.268,0.0007,76.6168,0.0007,78.7567,0.0007,4925.8,0.5,143,2,143,2,6,P -1,-P 1,2,,,,- C52 H70 B Lu O3 Si2 -,- C52 H70 B Lu O3 Si2 -,- C208 H280 B4 Lu4 O12 Si8 -,4,2
4081303,8.8131,0.0004,14.2385,0.0006,16.0147,0.0006,106.657,0.0005,98.8404,0.0005,90.4651,0.0005,1899.52,0.14,83,2,83,2,3,P -1,-P 1,2,,,,- C22 H30 U -,- C22 H30 U -,- C88 H120 U4 -,4,2
4081304,31.339,0.002,31.339,0.002,10.992,0.0008,90,,90,,120,,9349.3,1.1,143,2,143,2,4,R -3 :H,-R 3,148,,,,- C132 H186 O18 U6 -,- C132 H186 O18 U6 -,- C396 H558 O54 U18 -,3,0.166667
4081305,9.78,0.0005,15.6266,0.0009,15.0373,0.0008,90,,102.854,0.0006,90,,2240.5,0.2,83,2,83,2,4,P 1 21/n 1,-P 2yn,14,,,,- C48 H70 O4 U2 -,- C48 H70 O4 U2 -,- C96 H140 O8 U4 -,2,0.5
4084095,11.4639,0.0003,15.1728,0.0003,15.9971,0.0004,90,,94.946,0.001,90,,2772.17,0.11,150,2,150,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C29 H35 Cl3 Fe Ru -,- C29 H35 Cl3 Fe Ru -,- C116 H140 Cl12 Fe4 Ru4 -,4,1
4084096,7.3581,0.0002,9.2401,0.0002,39.8452,0.001,90,,95.061,0.001,90,,2698.5,0.12,150,2,150,2,5,P 1 21/n 1,-P 2yn,14,,,,- C29 H33 Cl3 Fe Ru -,- C29 H33 Cl3 Fe Ru -,- C116 H132 Cl12 Fe4 Ru4 -,4,1
4084097,17.4315,0.0003,10.9696,0.0002,14.0181,0.0003,90,,108.43,0.001,90,,2543.01,0.09,150,2,150,2,7,P 1 21/c 1,-P 2ybc,14,,,,- C24 H20 Cl3 F6 Fe P Ru -,- C24 H20 Cl3 F6 Fe P Ru -,- C96 H80 Cl12 F24 Fe4 P4 Ru4 -,4,1
4084098,7.3536,0.0003,9.157,0.0004,20.1027,0.0008,90,,94.364,0.002,90,,1349.73,0.1,150,2,150,2,5,P 1 21/m 1,-P 2yb,11,,,,- C29 H31 Cl3 Fe Ru -,- C29 H31 Cl3 Fe Ru -,- C58 H62 Cl6 Fe2 Ru2 -,2,0.5
4084099,13.8536,0.0005,17.802,0.0005,18.9458,0.0005,66.076,0.001,76.642,0.001,89.891,0.001,4133.3,0.2,150,2,150,2,8,P -1,-P 1,2,,,,- C44 H37 Cl3 F6 Fe2 N P Ru -,- C44 H37 Cl3 F6 Fe2 N P Ru -,- C176 H148 Cl12 F24 Fe8 N4 P4 Ru4 -,4,2
4088225,8.4285,0.0013,10.3929,0.0016,17.363,0.003,94.9062,0.0018,95.2116,0.0018,111.159,0.0017,1401,0.4,88,2,88,2,6,P -1,-P 1,2,,,,- C29 H42 Cl N O2 U -,- C29 H42 Cl N O2 U -,- C58 H84 Cl2 N2 O4 U2 -,2,1
4088226,11.361,0.0007,11.5361,0.0007,17.3158,0.001,79.0585,0.0006,89.4727,0.0006,66.6659,0.0006,2040.5,0.2,143,2,143,2,5,P -1,-P 1,2,,,,- C39.5 H70 Cl3 N U -,- C39.5 H70 Cl3 N U -,- C79 H140 Cl6 N2 U2 -,2,1
4088227,18.9445,0.001,16.9108,0.0009,19.7306,0.001,90,,90,,90,,6321,0.6,143,2,143,2,4,P b c a,-P 2ac 2ab,61,,,,- C31 H51 N9 U -,- C31 H51 N9 U -,- C248 H408 N72 U8 -,8,1
4088228,22.7263,0.0018,12.3259,0.001,25.706,0.002,90,,97.0365,0.001,90,,7146.6,1,143,2,143,2,5,P 1 21/n 1,-P 2yn,14,,,,- C34 H62 Cl2 N U -,- C34 H62 Cl2 N U -,- C272 H496 Cl16 N8 U8 -,8,2
4088229,21.0303,0.0012,16.6868,0.001,17.6872,0.001,90,,103.962,0.0007,90,,6023.6,0.6,143,2,143,2,6,C 1 2/c 1,-C 2yc,15,,,,- C52 H102 Cl6 N2 O U2 -,- C52 H102 Cl6 N2 O U2 -,- C208 H408 Cl24 N8 O4 U8 -,4,0.5
4088230,11.2214,0.0005,11.7908,0.0005,17.7903,0.0008,77.9253,0.0005,88.4904,0.0005,65.5842,0.0005,2091.12,0.16,88,2,88,2,6,P -1,-P 1,2,,,,- C39.5 H70 Cl2 N2 O3 U -,- C39.5 H70 Cl2 N2 O3 U -,- C79 H140 Cl4 N4 O6 U2 -,2,1
4089455,22.398,,12.412,,38.241,,90,,106.45,,90,,10196,,120,2,120,2,4,P 1 21/n 1,-P 2yn,14,Ph4Cp2ZrCl2,bis tetraphenylCp Zirconocene,,- C124 H99 Cl7 Zr2 -,- C124 H99 Cl7 Zr2 -,- C496 H396 Cl28 Zr8 -,4,1
4089456,22.486,0.0006,12.492,0.0003,38.2299,0.0008,90,,106.285,0.001,90,,10307.7,0.4,150,2,150,2,4,P 1 21/n 1,-P 2yn,14,,,,- C59.35 H43.35 Cl6.05 Hf -,- C59.35 H43.35 Cl6.05 Hf -,- C474.8 H346.8 Cl48.4 Hf8 -,8,2
4089558,23.865,0.004,10.269,0.0018,19.572,0.004,90,,108.685,0.011,90,,4543.7,1.5,130,2,130,2,8,C 1 c 1,C -2yc,9,,,,- C39 H65 B2 Cl2 F8 Fe P3 Pd -,- C39 H65 B2 Cl2 F8 Fe P3 Pd -,- C156 H260 B8 Cl8 F32 Fe4 P12 Pd4 -,4,1
4089559,12.7854,0.0008,12.8171,0.0008,17.1444,0.0013,84.688,0.002,83.017,0.003,73.353,0.002,2666.8,0.3,110,2,110,2,8,P -1,-P 1,2,,,,- C53 H69 B2 Cl2 F8 Fe P3 Pd -,- C53 H69 B2 Cl2 F8 Fe P3 Pd -,- C106 H138 B4 Cl4 F16 Fe2 P6 Pd2 -,2,1
4089560,10.5061,0.0009,15.7501,0.0013,20.615,0.0018,90,,91.838,0.005,90,,3409.5,0.5,120,2,120,2,8,P 1 21/c 1,-P 2ybc,14,,,,- C26 H47 B2 Cl F8 Fe P3 Pd -,- C26 H47 B2 Cl F8 Fe P3 Pd -,- C104 H188 B8 Cl4 F32 Fe4 P12 Pd4 -,4,1
