file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,sigvol,celltemp,sigcelltemp,diffrtemp,sigdiffrtemp,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
4105238,11.461,0.002,11.77,0.002,13.139,0.003,84,0.03,84.43,0.03,86.36,0.03,1751.8,0.6,100,2,100,2,6,P -1,-P 1,2,,,,- C25 H55 Ge2 P Si4 Zr -,- C25 H55 Ge2 P Si4 Zr -,- C50 H110 Ge4 P2 Si8 Zr2 -,2,1
4105239,10.982,0.002,11.835,0.002,17.5,0.004,86.81,0.03,87.77,0.03,75.29,0.03,2195.8,0.8,100,2,100,2,5,P -1,-P 1,2,,,,- C28 H64 Hf Si6 Sn3 -,- C28 H64 Hf Si6 Sn3 -,- C56 H128 Hf2 Si12 Sn6 -,2,1
4105240,10.916,0.002,11.849,0.002,17.496,0.003,87.04,0.03,87.75,0.03,76.3,0.03,2194.8,0.7,100,2,100,2,5,P -1,-P 1,2,,,,- C28 H64 Si6 Sn3 Zr -,- C28 H64 Si6 Sn3 Zr -,- C56 H128 Si12 Sn6 Zr2 -,2,1
4105241,16.865,0.003,10.921,0.002,23.394,0.005,90,,110.88,0.03,90,,4025.8,1.6,100,2,100,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C32 H63 Ge Hf P Si5 -,- C32 H63 Ge Hf P Si5 -,- C128 H252 Ge4 Hf4 P4 Si20 -,4,1
4105242,19.289,0.004,12.751,0.003,10.29,0.002,90,,117.74,0.03,90,,2240,1,100,2,100,2,4,C 1 2 1,C 2y,5,,,,- C24 H72 Ge4 Si8 -,- C24 H72 Ge4 Si8 -,- C48 H144 Ge8 Si16 -,2,0.5
4105735,19.6639,0.0015,8.7482,0.0007,17.194,0.0013,90,,108.577,0.0009,90,,2803.7,0.4,153,2,153,2,5,C 1 2/c 1,-C 2yc,15,,,,- C24 H40 S4 Si2 U -,- C24 H40 S4 Si2 U -,- C96 H160 S16 Si8 U4 -,4,0.5
4105736,14.9569,0.0009,19.1828,0.0011,24.774,0.0015,90,,95.2545,0.0007,90,,7078.2,0.7,148,2,148,2,6,C 1 2/c 1,-C 2yc,15,,,,- C66 H108 N4 O4 Si4 U2 -,- C66 H108 N4 O4 Si4 U2 -,- C264 H432 N16 O16 Si16 U8 -,4,0.5
4105737,10.8031,0.0006,12.6268,0.0007,14.8665,0.0008,92.118,0.0006,91.9633,0.0006,112.882,0.0005,1864.45,0.18,148,2,148,2,5,P -1,-P 1,2,,,,- C36 H63 N3 Si2 U -,- C36 H63 N3 Si2 U -,- C72 H126 N6 Si4 U2 -,2,1
4105738,10.0856,0.0005,17.4636,0.0009,19.6548,0.001,90,,104.761,0.0007,90,,3347.6,0.3,153,2,153,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C34 H58 N2 Si2 U -,- C34 H58 N2 Si2 U -,- C136 H232 N8 Si8 U4 -,4,1
4105904,10.3611,0.0011,11.5566,0.0013,13.457,0.002,96.926,0.006,106.836,0.006,116.529,0.004,1319.8,0.3,173,2,173,2,5,P -1,-P 1,2,,,,- C25 H42 N2 Si2 Ti -,- C25 H42 N2 Si2 Ti -,- C50 H84 N4 Si4 Ti2 -,2,1
4105905,10.4688,0.0003,12.266,0.0004,13.3377,0.0004,78.808,0.001,85.741,0.001,69.627,0.001,1574.99,0.08,173,2,173,2,5,P -1,-P 1,2,,,,- C31 H50 N2 Si2 Zr -,- C31 H50 N2 Si2 Zr -,- C62 H100 N4 Si4 Zr2 -,2,1
4105906,16.8952,0.0006,31.7271,0.0009,11.7933,0.0003,90,,90,,90,,6321.6,0.3,200,2,200,2,5,P c c n,-P 2ab 2ac,56,,,,- C33 H42 N2 Si2 Zr -,- C33 H42 N2 Si2 Zr -,- C264 H336 N16 Si16 Zr8 -,8,1
4105907,8.104,0.0006,10.3858,0.0007,12.3515,0.0009,94.436,0.003,94.238,0.003,103.346,0.003,1003.96,0.13,173,2,173,2,4,P -1,-P 1,2,,,,- C50 H48 N4 Ti2 -,- C50 H48 N4 Ti2 -,- C50 H48 N4 Ti2 -,1,0.5
4109112,27.687,0.013,15.086,0.005,18.057,0.007,90,,118.63,0.014,90,,6620,5,293,2,293,2,6,C 1 2/c 1,-C 2yc,15,,,,- C29 H45 Cl Cr N O -,- C29 H45 Cl Cr N O -,- C232 H360 Cl8 Cr8 N8 O8 -,8,1
4109113,13.117,0.004,11.47,0.004,20.571,0.008,90,,106.435,0.011,90,,2968.5,1.8,293,2,293,2,6,P 1 21/c 1,-P 2ybc,14,,,,- C31 H41 Cl Cr N O -,- C31 H41 Cl Cr N O -,- C124 H164 Cl4 Cr4 N4 O4 -,4,1
4109114,11.988,0.004,23.774,0.008,12.62,0.003,90,,104.731,0.012,90,,3478.5,1.9,293,2,293,2,6,P 1 21/n 1,-P 2yn,14,,,,- C37 H53 Cl Cr N O -,- C37 H53 Cl Cr N O -,- C148 H212 Cl4 Cr4 N4 O4 -,4,1
4109996,22.0418,0.0018,15.4524,0.0013,17.4014,0.0014,90,,90,,90,,5926.9,0.8,295,2,295,2,5,F d d 2,F 2 -2d,43,,,,- C28 H44 N2 O4 Ti -,- C28 H44 N2 O4 Ti -,- C224 H352 N16 O32 Ti8 -,8,0.5
4109997,10.0635,0.0006,17.306,0.001,18.661,0.001,90,,90,,90,,3250,0.3,173,2,173,2,5,P b c a,-P 2ac 2ab,61,,,,- C12 H28 N2 O4 Ti -,- C12 H28 N2 O4 Ti -,- C96 H224 N16 O32 Ti8 -,8,1
4112248,7.504,0.001,7.611,0.001,13.86,0.001,84.1,0.01,88.18,0.01,80.42,0.01,776.32,0.16,198,2,198,2,3,P -1,-P 1,2,,,,- C19 H22 Zr -,- C19 H22 Zr -,- C38 H44 Zr2 -,2,1
4112249,7.946,0.001,9.841,0.001,12.337,0.001,73.36,0.01,77.47,0.01,68.24,0.01,851.77,0.17,198,2,198,2,5,P -1,-P 1,2,,,,- C15 H20 Cl2 Si Zr -,- C15 H20 Cl2 Si Zr -,- C30 H40 Cl4 Si2 Zr2 -,2,1
4112250,9.939,0.001,12.73,0.001,15.109,0.001,90,,106.39,0.01,90,,1834,0.3,198,2,198,2,5,P 1 21/n 1,-P 2yn,14,,,,- C16 H22 Cl2 Si Zr -,- C16 H22 Cl2 Si Zr -,- C64 H88 Cl8 Si4 Zr4 -,4,1
4113353,14.739,0.003,10.7869,0.0019,15.771,0.003,90,,90,,90,,2507.4,0.8,100,2,100,2,5,P n m a,-P 2ac 2n,62,[Cr(Cp*)2][MTCE],,,- C27 H33 Cr N3 O2 -,- C27 H33 Cr N3 O2 -,- C108 H132 Cr4 N12 O8 -,4,0.5
4115249,17.995,0.002,13.483,0.001,18.008,0.002,90,,90.06,0.008,90,,4369.2,0.8,130,,130,1,5,P 1 2/c 1,-P 2yc,13,,,,- C52 H66 B O2 Ti -,- C208 H259.104 B4 O8 Ti4 -,- C208 H259.104 B4 O8 Ti4 -,1,0.25
4115250,11.992,0.001,13.649,0.002,14.883,0.001,90.95,0.01,109.499,0.008,90.865,0.009,2295.5,0.4,130,,130,1,5,P -1,-P 1,2,,,,- C56 H60 B F2 Ti -,- C56 H60 B F2 Ti -,- C112 H120 B2 F4 Ti2 -,2,1
4115251,13.3636,0.0007,15.06,0.0007,17.7873,0.0009,97.131,0.001,90.604,0.001,91.97,0.001,3549.6,0.3,100,1,100,1,4,P -1,-P 1,2,,,,- C44 H50 B Ti -,- C44 H50 B Ti -,- C176 H200 B4 Ti4 -,4,2
4116072,12.866,0.003,15.594,0.003,18.197,0.004,67.33,0.03,76.78,0.03,73.38,0.03,3199,1.4,293,2,293,2,3,P -1,-P 1,2,,,,- C34 H48 Ti -,- C34 H48 Ti -,- C136 H192 Ti4 -,4,2
4116073,9.093,0.002,30.743,0.006,11.625,0.002,90,,106.23,0.03,90,,3120.2,1.2,293,2,293,2,3,P 1 21/c 1,-P 2ybc,14,,,,- C34 H48 Zr -,- C34 H48 Zr -,- C136 H192 Zr4 -,4,1
4116209,11.392,0.005,11.392,0.005,3.938,0.003,90,,90,,120,,442.6,0.4,293,2,293,2,3,P -6 2 m,P -6 -2,189,,Ba2NiSi3,,- Ba2 Ni Si3 -,- Ba2 Ni Si3 -,- Ba6 Ni3 Si9 -,3,0.25
4116218,31.008,0.0005,11.92,0.0003,29.791,0.0007,90,,107.994,0.0013,90,,10472.6,0.4,115,,115,,5,P 1 21/c 1,-P 2ybc,14,,,,- C117 H160 N4 O4 Zr2 -,- C117 H160 N4 O4 Zr2 -,- C468 H640 N16 O16 Zr8 -,4,1
4116255,13.4053,0.0011,16.3295,0.0013,17.8203,0.0014,72.146,0.002,80.562,0.002,82.677,0.002,3650.4,0.5,213,2,213,2,9,P -1,-P 1,2,,,,- C80 H80 Cl2 F6 O3 P4 Rh Sb Zr -,- C80 H80 Cl2 F6 O3 P4 Rh Sb Zr -,- C160 H160 Cl4 F12 O6 P8 Rh2 Sb2 Zr2 -,2,1
4120334,6.5321,0.0003,8.0627,0.0003,12.6859,0.0005,73.519,0.002,84.233,0.002,77.446,0.002,624.81,0.05,143,1,143,1,4,P -1,-P 1,2,,,,- C10 H17 B7 Fe -,- C10 H17 B7 Fe -,- C20 H34 B14 Fe2 -,2,1
4120335,7.8737,0.0004,16.7333,0.001,12.7705,0.0006,90,,102.676,0.002,90,,1641.54,0.15,143,1,143,1,4,P 1 21/n 1,-P 2yn,14,,,,- C8 H22 B14 Fe -,- C8 H22 B14 Fe -,- C32 H88 B56 Fe4 -,4,1
4120336,8.8907,0.0008,21.898,0.002,8.669,0.0008,90,,108.393,0.004,90,,1601.5,0.3,143,1,143,1,4,P 1 21/c 1,-P 2ybc,14,,,,- C8 H22 B14 Fe -,- C8 H22 B14 Fe -,- C32 H88 B56 Fe4 -,4,1
4120337,8.0019,0.0006,8.8512,0.0007,12.1961,0.001,99.761,0.003,96.347,0.004,105.058,0.003,811.15,0.11,143,1,143,1,4,P -1,-P 1,2,,,,- C8 H22 B14 Fe -,- C8 H22 B14 Fe -,- C16 H44 B28 Fe2 -,2,1
4121170,10.1513,0.0002,42.0696,0.0008,17.7599,0.0003,90,,94.519,0.001,90,,7561,0.2,150,2,150,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C46 H50 P2 Ti -,- C46 H50 P2 Ti -,- C368 H400 P16 Ti8 -,8,2
4121171,11.4225,0.0002,12.4016,0.0002,15.9682,0.0003,68.832,0.001,73.958,0.001,72.245,0.001,1973.41,0.06,150,2,150,2,4,P -1,-P 1,2,,,,- C46 H44 P2 Ti -,- C46 H44 P2 Ti -,- C92 H88 P4 Ti2 -,2,1
4121172,18.136,0.0003,12.8709,0.0002,33.6094,0.0006,90,,97.837,0.001,90,,7772.1,0.2,150,2,150,2,4,C 1 2/c 1,-C 2yc,15,,,,- C49.5 H48 P2 Zr -,- C49.5 H48 P2 Zr -,- C396 H384 P16 Zr8 -,8,1
4121173,15.5727,0.0004,15.8919,0.0004,16.9596,0.0004,78.389,0.001,68.904,0.001,79.209,0.001,3805.35,0.17,150,2,150,2,4,P -1,-P 1,2,,,,- C95.8 H87.2 P4 Zr2 -,- C95.8 H87.2 P4 Zr2 -,- C191.6 H174.4 P8 Zr4 -,2,1
4121174,10.2288,0.0002,16.1867,0.0004,19.89,0.0004,98.728,0.001,97.499,0.001,100.128,0.001,3162.25,0.12,150,2,150,2,5,P -1,-P 1,2,,,,- C68 H102 Ni2 O2 P4 -,- C68 H102 Ni2 O2 P4 -,- C136 H204 Ni4 O4 P8 -,2,1
4127837,10.9617,0.0003,13.0994,0.0004,12.8416,0.0004,90,,91.757,0.001,90,,1843.08,0.09,100,2,100,2,3,P 1 21/n 1,-P 2yn,14,,,,- C40 H70 Tb -,- C40 H70 Tb -,- C80 H140 Tb2 -,2,0.5
4127838,15.2155,0.0006,23.1873,0.0009,16.8829,0.0007,90,,90.943,0.001,90,,5955.6,0.4,100,2,100,1,5,P 1 21/n 1,-P 2yn,14,,,,- C64 H70 B F20 Tb -,- C64 H70 B F20 Tb -,- C256 H280 B4 F80 Tb4 -,4,1
4127839,11.02,0.0005,13.0196,0.0006,12.8467,0.0008,90,,91.917,0.005,90,,1842.16,0.17,293,2,293,2,3,P 1 21/n 1,-P 2yn,14,,,,- C40 H70 Dy -,- C40 H70 Dy -,- C80 H140 Dy2 -,2,0.5
4128931,8.07,0.0006,8.4605,0.0006,12.8684,0.001,90,,93.611,0.002,90,,876.86,0.11,100,2,100.01,,3,P 1 21/n 1,-P 2yn,14,,,,- C20 H31 Co -,- C20 H31 Co -,- C40 H62 Co2 -,2,0.5
4128932,12.8973,0.0005,9.6767,0.0004,15.1146,0.0006,90,,92.956,0.002,90,,1883.84,0.13,100,2,100,,3,P 1 21/c 1,-P 2ybc,14,,,,- C21 H33 Co -,- C21 H33 Co -,- C84 H132 Co4 -,4,1
4305016,9.24,0.001,10.499,0.001,19.982,0.001,91.54,0.01,90.02,0.01,115.26,0.01,1752.3,0.3,100,2,100,2,6,P -1,-P 1,2,,,,- C37 H55 Al N2 O Ti -,- C37 H55 Al N2 O Ti -,- C74 H110 Al2 N4 O2 Ti2 -,2,1
4305017,12.033,0.001,19.076,0.002,17.519,0.001,90,,96.79,0.01,90,,3993.1,0.6,100,2,100,2,6,P 1 21/n 1,-P 2yn,14,,,,- C42 H65 Al N2 O Ti -,- C42 H65 Al N2 O Ti -,- C168 H260 Al4 N8 O4 Ti4 -,4,1
4305018,12.232,0.002,19.009,0.002,17.498,0.002,90,,97.36,0.01,90,,4035.1,0.9,100,2,100,2,6,P 1 21/n 1,-P 2yn,14,,,,- C42 H65 Al N2 O Zr -,- C42 H65 Al N2 O Zr -,- C168 H260 Al4 N8 O4 Zr4 -,4,1
4306106,20.221,0.01,10.11,0.005,16.301,0.008,90,,109.752,0.009,90,,3136,3,208,2,208,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C32 H45 N4 Sm -,- C32 H45 N4 Sm -,- C128 H180 N16 Sm4 -,4,1
4306107,24.874,0.005,8.445,0.0015,25.131,0.005,90,,91.754,0.003,90,,5276.6,1.8,100,2,100,2,4,P 1 21/n 1,-P 2yn,14,EM10,,,- C27 H42 Ce N2 -,- C27 H42 Ce N3 -,- C216 H336 Ce8 N24 -,8,2
4309314,12.0975,0.0014,14.6414,0.0017,15.1196,0.0017,90,,104.69,0.002,90,,2590.5,0.5,163,2,163,2,4,P 1 21/n 1,-P 2yn,14,,,,- C26 H46 B La -,- C26 H46 B La -,- C104 H184 B4 La4 -,4,1
4309315,24.84,0.005,11.226,0.002,27.895,0.005,90,,105.442,0.003,90,,7498,2,163,2,163,2,3,P 1 21/c 1,-P 2ybc,14,,,,- C40 H60 La2 -,- C40 H60 La2 -,- C320 H480 La16 -,8,2
4313242,13.7921,0.0003,13.4227,0.0003,13.0868,0.0003,90,,91.6448,0.0012,90,,2421.72,0.09,150,1,150,1,5,P 1 21/c 1,-P 2ybc,14,,,,- C11 H16 B Cl Zr -,- C11 H16 B Cl Zr -,- C88 H128 B8 Cl8 Zr8 -,8,2
4313243,15.2949,0.0004,9.3417,0.0002,9.3211,0.0002,90,,90,,90,,1331.8,0.05,150,1,150,1,4,P n a 21,P 2c -2n,33,,,,- C12 H22 B2 Zr -,- C12 H22 B2 Zr -,- C48 H88 B8 Zr4 -,4,1
4313244,9.1795,0.0003,13.0993,0.0005,8.852,0.0003,90,,90,,90,,1064.41,0.06,150,1,150,1,4,F m m 2,F 2 -2,42,,,,- C11 H16 B Ti -,- C11 H16 B Ti -,- C44 H64 B4 Ti4 -,4,0.25
4314461,8.8192,0.0006,17.3674,0.0012,17.212,0.0012,90,,92.916,0.001,90,,2632.9,0.3,100,2,100,2,5,P 1 21/n 1,-P 2yn,14,,,,- C27 H42 Cl N3 U -,- C27 H42 Cl N3 U -,- C108 H168 Cl4 N12 U4 -,4,1
4314462,11.3246,0.0006,20.1621,0.0011,11.8247,0.0006,90,,94.808,0.001,90,,2690.4,0.2,153,2,153,2,4,P 1 21/n 1,-P 2yn,14,,,,- C27 H42 N6 U -,- C27 H42 N6 U -,- C108 H168 N24 U4 -,4,1
4314463,10.7804,0.0007,15.5317,0.0011,17.9557,0.0012,90,,90,,90,,3006.5,0.4,143,2,143,2,5,P 21 21 21,P 2ac 2ab,19,,,,- C30 H51 N4 Si U -,- C30 H51 N4 Si U -,- C120 H204 N16 Si4 U4 -,4,1
4314464,15.2203,0.0006,16.9397,0.0007,19.8735,0.0008,90,,90,,90,,5123.9,0.4,103,2,103,2,5,P 21 21 21,P 2ac 2ab,19,,,,- C54 H84 N6 Se U2 -,- C54 H84 N6 Se U2 -,- C216 H336 N24 Se4 U8 -,4,1
4314829,9.5795,0.0006,17.4341,0.0011,17.852,0.0011,90,,101.438,0.001,90,,2922.2,0.3,143,2,143,2,5,P 1 21/n 1,-P 2yn,14,,,,- C30 H50 N2 O2 U -,- C30 H50 N2 O2 U -,- C120 H200 N8 O8 U4 -,4,1
4314830,34.4356,0.0018,12.3473,0.0007,16.1941,0.0009,90,,90.682,0.001,90,,6885,0.7,103,2,103,2,5,C 1 2/c 1,-C 2yc,15,,,,- C36.5 H55 N3 S U -,- C36.5 H51 N3 S U -,- C292 H408 N24 S8 U8 -,8,1
4314831,11.5156,0.0006,17.1703,0.0009,16.0926,0.0008,90,,90.232,0.001,90,,3181.9,0.3,103,2,103,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C34 H52 N2 S U -,- C34 H52 N2 S U -,- C136 H208 N8 S4 U4 -,4,1
4314832,8.2845,0.0004,11.1001,0.0006,14.231,0.0007,81.993,0.0005,76.1897,0.0005,81.9746,0.0006,1250.72,0.11,103,2,103,2,4,P -1,-P 1,2,,,,- C28 H42 N2 U -,- C28 H42 N2 U -,- C56 H84 N4 U2 -,2,1
4316936,12.5758,0.0015,14.7777,0.0018,15.0404,0.0018,90,,92.304,0.002,90,,2792.9,0.6,98,2,98,2,4,P 1 21/c 1,-P 2ybc,14,,,,- C28 H47 N2 Th -,- C28 H47 N2 Th -,- C112 H188 N8 Th4 -,4,1
4317046,14.2815,0.0003,14.2815,0.0003,19.73,0.0008,90,,90,,90,,4024.2,0.2,103,2,103,2,4,P -4 21 c,P -4 2n,114,,,,- C43 H66 N2 Y2 -,- C43 H60 N2 Y2 -,- C172 H240 N8 Y8 -,4,0.5
4324977,22.2813,0.0008,14.5879,0.0006,19.2893,0.0007,90,,105.732,0.0004,90,,6034.9,0.4,93,2,93,2,4,C 1 2/c 1,-C 2yc,15,,,,- C60 H90 N9 Y3 -,- C60 H90 N9 Y3 -,- C240 H360 N36 Y12 -,4,0.5
4324978,27.1898,0.0015,27.1898,0.0015,19.8371,0.0011,90,,90,,120,,12700.5,1.2,148,2,148,2,4,P -3,-P 3,147,,,,- C78 H117 N18 Sm3 -,- C78 H117 N18 Sm3 -,- C468 H702 N108 Sm18 -,6,1
4324979,10.8241,0.0004,14.1064,0.0005,14.3236,0.0005,86.1256,0.0004,79.4371,0.0004,83.4938,0.0004,2133.7,0.13,93,2,93,2,4,P -1,-P 1,2,,,,- C42 H63 N7 Sm2 -,- C42 H63 N7 Sm2 -,- C84 H126 N14 Sm4 -,2,1
4324980,10.3246,0.0004,14.1253,0.0006,15.5657,0.0007,90,,105.16,0.001,90,,2191.07,0.16,93,2,93,2,5,P 1 2/c 1,-P 2yc,13,,,,- C50 H62 B O2 Y -,- C50 H62 B O2 Y -,- C100 H124 B2 O4 Y2 -,2,0.5
4324981,10.3283,0.0003,14.1678,0.0005,15.6546,0.0005,90,,105.314,0.0004,90,,2209.39,0.12,98,2,98,2,5,P 1 2/c 1,-P 2yc,13,,,,- C50 H62 B O2 Sm -,- C50 H62 B O2 Sm -,- C100 H124 B2 O4 Sm2 -,2,0.5
4324982,10.9624,0.0005,14.7189,0.0007,34.3027,0.0017,90,,92.5507,0.0007,90,,5529.4,0.5,143,2,143,2,5,P 1 21/c 1,-P 2ybc,14,,,,- C70 H70 B O2 Y -,- C70 H70 B O2 Y -,- C280 H280 B4 O8 Y4 -,4,1
4324983,11.0392,0.0005,15.5736,0.0008,31.0265,0.0015,90,,90,,90,,5334.1,0.4,143,2,143,2,6,P 21 21 21,P 2ac 2ab,19,,,,- C64 H74 B N2 O2 Y -,- C64 H74 B N2 O2 Y -,- C256 H296 B4 N8 O8 Y4 -,4,1
4324984,10.3569,0.0004,14.1863,0.0005,16.1998,0.0006,90,,106.857,0.0004,90,,2277.9,0.15,93,2,93,2,5,P 1 2/c 1,-P 2yc,13,,,,- C54 H60 B N2 Sm -,- C54 H60 B N2 Sm -,- C108 H120 B2 N4 Sm2 -,2,0.5
4324985,13.6157,0.0005,18.4964,0.0007,27.1343,0.001,90,,90,,90,,6833.5,0.4,93,2,93,2,5,P 21 21 21,P 2ac 2ab,19,,,,- C82 H94 B N2 Y2 -,- C82 H94 B N2 Y2 -,- C328 H376 B4 N8 Y8 -,4,1
4324986,10.5327,0.0005,10.9558,0.0005,11.2847,0.0005,79.5057,0.0006,75.6293,0.0006,85.158,0.0006,1239.29,0.1,148,2,148,2,4,P -1,-P 1,2,,,,- C58 H74 N2 Y2 -,- C58 H74 N2 Y2 -,- C58 H74 N2 Y2 -,1,0.5
4326883,11.4411,0.0002,14.0636,0.0003,17.2603,0.0004,75.3279,0.0008,71.2575,0.0008,88.8294,0.0009,2538.57,0.09,115,2,115,2,4,P -1,-P 1,2,,,,- C63 H63 Fe P3 -,- C63 H63 Fe P3 -,- C126 H126 Fe2 P6 -,2,1
4339413,10.6644,0.0005,11.631,0.0005,12.9048,0.0006,89.406,0.001,89.39,0.001,66.021,0.001,1462.42,0.12,100,2,100,2,6,P -1,-P 1,2,,,,- C27 H51 N3 O Ti Zr -,- C27 H51 N3 O Ti Zr -,- C54 H102 N6 O2 Ti2 Zr2 -,2,1
4339414,14.8318,0.0008,18.7743,0.001,17.7562,0.0009,90,,111.051,0.001,90,,4614.4,0.4,100,2,100,2,6,P 1 21/n 1,-P 2yn,14,,,,- C46 H78 Hf N2 O2 Zr2 -,- C46 H78 Hf N2 O2 Zr2 -,- C184 H312 Hf4 N8 O8 Zr8 -,4,1
4518828,29.0406,0.0016,16.9643,0.0009,19.5677,0.0011,90,,102.448,0.001,90,,9413.5,0.9,120,,120,,5,C 1 2/c 1,-C 2yc,15,,,,- C55 H61 Hf N O2 -,- C55 H61 Hf N O2 -,- C440 H488 Hf8 N8 O16 -,8,1
7004657,13.2098,0.0013,13.8554,0.0007,14.2609,0.0007,116.564,0.002,97.76,0.003,94.743,0.003,2282.9,0.3,203,2,203,2,3,P -1,-P 1,2,((4-nBu-C6H4)5Cp)2Ba,,,- C110 H130 Ba -,- C110 H130 Ba -,- C110 H130 Ba -,1,0.5
7004658,13.1279,0.0015,13.9524,0.0008,14.298,0.0008,117.314,0.003,97.775,0.004,93.923,0.004,2280,0.3,203,2,203,2,3,P -1,-P 1,2,((nBu-C6H4)5Cp)2Sr,,,- C110 H130 Sr -,- C110 H130 Sr -,- C110 H130 Sr -,1,0.5
7007342,18.157,0.001,11.38,0.001,8.664,0.001,90,,109.32,0.01,90,,1689.4,0.3,198,2,198,2,4,C 1 2 1,C 2y,5,,,,- C30 H48 O12 Zr -,- C30 H48 O12 Zr -,- C60 H96 O24 Zr2 -,2,0.5
7007343,9.213,0.001,19.258,0.001,30.126,0.001,90,,90,,90,,5345.1,0.7,198,2,198,2,4,P 21 21 21,P 2ac 2ab,19,,,,- C59 H68 O12 Zr2 -,- C59 H68 O12 Zr2 -,- C236 H272 O48 Zr8 -,4,1
7007389,6.7838,0.0001,11.2938,0.0003,17.8651,0.0004,90,,97.105,0.002,90,,1358.22,0.05,123,2,123,2,5,P 1 21/n 1,-P 2yn,14,,"1,1'-bis(dichlorophosphano)ferrocene",,- C10 H8 Cl4 Fe P2 -,- C10 H8 Cl4 Fe P2 -,- C40 H32 Cl16 Fe4 P8 -,4,1
7007390,13.647,0.004,8.992,0.002,13.668,0.003,90,,119.01,0.018,90,,1466.8,0.7,100,2,100,2,5,P 1 2/n 1,-P 2yac,13,"1,1'-bis(dibromophosphano)ferrocene","1,1'-bis(dibromophosphano)ferrocene",,- C10 H8 Br4 Fe P2 -,- C10 H8 Br4 Fe P2 -,- C40 H32 Br16 Fe4 P8 -,4,1
7008288,8.7491,0.0018,23.322,0.005,8.8016,0.0019,90,,96.995,0.004,90,,1782.6,0.7,198,1,198,1,6,P 1 21/n 1,-P 2yn,14,,,,- C8 H12 F9 N4 Sb Ti -,- C8 H12 F9 N4 Sb Ti -,- C32 H48 F36 N16 Sb4 Ti4 -,4,1
7008289,9.869,0.0005,10.4615,0.0005,11.9993,0.0006,80.108,0.001,76.847,0.001,64.519,0.001,1085.16,0.09,198,2,198,2,6,P -1,-P 1,2,,,,- C10 H20 F14 O5 Sb2 Ti -,- C10 H20 F14 O5 Sb2 Ti -,- C20 H40 F28 O10 Sb4 Ti2 -,2,1
7008290,10.0613,0.0006,10.371,0.0006,12.4456,0.0007,84.098,0.001,77.82,0.001,67.257,0.001,1170.39,0.12,173,2,173,2,6,P -1,-P 1,2,,,,- C12 H24 F14 O6 Sb2 Ti -,- C12 H24 F14 O6 Sb2 Ti -,- C24 H48 F28 O12 Sb4 Ti2 -,2,1
7009107,8.47,0.004,10.106,0.004,13.403,0.003,80.26,0.03,74.88,0.03,67.53,0.02,1020.4,0.7,125,,125,,6,P -1,-P 1,2,,,,- C22 H12 B Cl F10 W -,- C22 H12 B Cl F10 W -,- C44 H24 B2 Cl2 F20 W2 -,2,1
7009108,15.427,0.003,15.619,0.004,19.877,0.002,90,,90,,90,,4789.4,1.6,125,,125,,5,P b c a,-P 2ac 2ab,61,,,,- C28 H9 B F15 Re -,- C28 H9 B F15 Re -,- C224 H72 B8 F120 Re8 -,8,1
7009950,9.1145,0.0008,15.798,0.002,15.006,0.001,90,,92.23,0.005,90,,2159.1,0.4,150,2,150,2,5,P 1 21/n 1,-P 2yn,14,,,,- C22.5 H28 Na O1.5 Pb -,- C22.5 H28 Na O1.5 Pb -,- C90 H112 Na4 O6 Pb4 -,4,1
7016310,13.878,0.001,8.3613,0.0006,15.0171,0.001,90,,94.092,0.002,90,,1738.1,0.2,173,,173,,5,P 1 21/c 1,-P 2ybc,14,decamethylferrocene-dichloroonaphthoquinone complex,decamethylferrocene-dichloroonaphthoquinone complex,,- C40 H38 Cl4 Fe O4 -,- C40 H38 Cl4 Fe O4 -,- C80 H76 Cl8 Fe2 O8 -,2,0.5
7016311,14.0046,0.0012,8.4462,0.0007,15.2741,0.0013,90,,95.616,0.001,90,,1798,0.3,173,,173,,5,P 1 21/c 1,-P 2ybc,14,decamethylferrocene-dibromonaphthoquinone complex,decamethylferrocene-dibromonaphthoquinone complex,,- C40 H38 Br4 Fe O4 -,- C40 H38 Br4 Fe O4 -,- C80 H76 Br8 Fe2 O8 -,2,0.5
7016312,13.8088,0.001,8.1646,0.0006,15.0981,0.0011,90,,95.989,0.002,90,,1692.9,0.2,173,,173,,5,P 1 21/c 1,-P 2ybc,14,octamethylferrocene-dibromonaphthoquinone complex,octamethylferrocene-dibromonaphthoquinone complex,,- C38 H32 Cl4 Fe O4 -,- C38 H32 Cl4 Fe O4 -,- C76 H64 Cl8 Fe2 O8 -,2,0.5
7016313,13.7023,0.0007,8.1596,0.0004,15.0503,0.0008,90,,96.185,0.001,90,,1672.91,0.15,90,,90,,5,P 1 21/c 1,-P 2ybc,14,octamethylferrocene-dibromonaphthoquinone complex,octamethylferrocene-dibromonaphthoquinone complex,,- C38 H32 Cl4 Fe O4 -,- C38 H32 Cl4 Fe O4 -,- C76 H64 Cl8 Fe2 O8 -,2,0.5
