file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
1537338,8.6468,,8.6468,,23.9436,,90,,90,,120,,1550.35,4,R -3 :H,-R 3,148,,Ba0.5 Zr2 (P O4)3,,- Ba0.5 O12 P3 Zr2 -,- Ba0.5 O12 P3 Zr2 -,- Ba3 O72 P18 Zr12 -,6,0.333333
1537339,8.5758,,8.5758,,24.9061,,90,,90,,120,,1586.3,4,R -3 c :H,"-R 3 2""c",167,,Cs Zr2 (P O4)3,,- Cs O12 P3 Zr2 -,- Cs O12 P3 Zr2 -,- Cs6 O72 P18 Zr12 -,6,0.166667
1537343,18.06,,11.58,,6.99,,90,,114,,90,,1335.47,5,P 1 21/a 1,-P 2yab,14,,(N H4)6 Zr2 (O H)2 (C O3)6 (H2 O)3,,- C6 H32 N6 O23 Zr2 -,- C6 N6 O23 Zr2 -,- C12 N12 O46 Zr4 -,2,0.5
1537359,6.821,,3.741,,14.937,,90,,95.66,,90,,379.295,2,P 1 21/m 1,-P 2yb,11,,Zr I2,,- I2 Zr -,- I2 Zr -,- I8 Zr4 -,4,1
1537405,6.893,,6.893,,10.172,,90,,90,,120,,418.556,4,P 63/m,-P 6c,176,,K2 Zr (Si3 O9),,- K2 O9 Si3 Zr -,- K2 O9 Si3 Zr -,- K4 O18 Si6 Zr2 -,2,0.166667
1537487,4.116,,3.581,,8.701,,90,,90,,90,,128.247,3,P m m n :1,P 2 2ab -1ab,59,,Zr N Br,,- Br N Zr -,- Br N Zr -,- Br2 N2 Zr2 -,2,0.25
1537492,2.081,,2.081,,9.234,,90,,90,,120,,34.631,3,P -3 m 1,"-P 3 2""",164,,Zr N Cl,,- Cl N Zr -,- Cl N Zr -,- Cl2 N2 Zr2 -,2,0.166667
1537493,2.1,,2.1,,9.751,,90,,90,,120,,37.241,3,P -3 m 1,"-P 3 2""",164,,Zr N Br,,- Br N Zr -,- Br N Zr -,- Br2 N2 Zr2 -,2,0.166667
1537533,10.616,,10.616,,37.959,,90,,90,,120,,3704.82,5,R 3 c :H,"R 3 -2""c",161,,Tl5 (Mg0.5 Zr1.5) (Mo O4)6,,- Mg0.5 Mo6 O24 Tl5 Zr1.5 -,- Mg0.5 Mo6 O24 Tl5 Zr1.5 -,- Mg3 Mo36 O144 Tl30 Zr9 -,6,0.333333
1537534,9.474,,9.474,,24.371,,90,,90,,120,,1894.4,5,R -3 c :H,"-R 3 2""c",167,,K0.52 (Mn0.47 Zr0.45)2 (Mo O4)3,,- K0.52 Mn0.94 Mo3 O12 Zr0.9 -,- K0.52 Mn0.94 Mo3 O12 Zr0.9 -,- K3.12 Mn5.64 Mo18 O72 Zr5.4 -,6,0.166667
1537550,6.361,,7.407,,6.256,,90,,109.3,,90,,278.192,2,P 1 2/c 1,-P 2yc,13,,Zr Cl4,,- Cl4 Zr -,- Cl4 Zr -,- Cl8 Zr2 -,2,0.5
1537633,3.36,,3.36,,3.36,,90,,90,,90,,37.933,3,I m -3 m,-I 4 2 3,229,,(Nb Ti Zr)0.66,,- Nb0.666 Ti0.666 Zr0.666 -,- Nb0.666 Ti0.666 Zr0.666 -,- Nb0.666 Ti0.666 Zr0.666 -,1,0.0104167
1537660,3.9627,,3.9627,,3.9627,,90,,90,,90,,62.226,2,F m -3 m,-F 4 2 3,225,,(Pd4 Zr)0.8,,- Pd3.184 Zr0.816 -,- Pd3.184 Zr0.816 -,- Pd3.184 Zr0.816 -,1,0.00520833
1537685,3.927,,3.927,,3.927,,90,,90,,90,,60.56,2,F m -3 m,-F 4 2 3,225,,(Pd9 Zr)0.4,,- Pd3.6 Zr0.4 -,- Pd3.6 Zr0.4 -,- Pd3.6 Zr0.4 -,1,0.00520833
1537704,7.163,,19.919,,7.158,,90,,113.05,,90,,939.765,3,P 1 21/c 1,-P 2ybc,14,,Cs4 Zr O4,,- Cs4 O4 Zr -,- Cs4 O4 Zr -,- Cs16 O16 Zr4 -,4,1
1537764,4.657,,8.191,,12.102,,90,,95.509,,90,,459.504,2,C 1 2/m 1,-C 2y,12,,,,- Ni7 Zr2 -,- Ni7 Zr2 -,- Ni28 Zr8 -,4,0.5
1537805,3.44,,3.44,,3.44,,90,,90,,90,,40.708,2,I m -3 m,-I 4 2 3,229,,,,- Nb Zr -,- Nb Zr -,- Nb Zr -,1,0.0104167
1537813,6.708,,6.708,,6.708,,90,,90,,90,,301.842,2,F -4 3 m,F -4 2 3,216,,,,- Ni5 Zr -,- Ni5 Zr -,- Ni20 Zr4 -,4,0.0416667
1537815,7.382,,7.382,,7.382,,90,,90,,90,,402.274,3,F d -3 m :1,F 4d 2 3 -1d,227,,(Hf3 Zn40 Zr17)0.4,,- Hf1.2 Zn16 Zr6.8 -,- Hf1.28 Zn16 Zr6.72 -,- Hf1.28 Zn16 Zr6.72 -,1,0.00520833
1537824,4.49,,4.49,,4.49,,90,,90,,90,,90.519,3,F m -3 m,-F 4 2 3,225,,Nb Zr N2,,- N2 Nb Zr -,- N2 Nb Zr -,- N4 Nb2 Zr2 -,2,0.0104167
1537845,3.428,,3.428,,3.428,,90,,90,,90,,40.283,2,I m -3 m,-I 4 2 3,229,,,,- Nb Zr -,- Nb Zr -,- Nb Zr -,1,0.0104167
1537867,3.927,,3.927,,3.927,,90,,90,,90,,60.56,2,P m -3 m,-P 4 2 3,221,,,,- Rh3 Zr -,- Rh3 Zr -,- Rh3 Zr -,1,0.0208333
1537868,3.943,,3.943,,3.943,,90,,90,,90,,61.303,2,P m -3 m,-P 4 2 3,221,,,,- Ir3 Zr -,- Ir3 Zr -,- Ir3 Zr -,1,0.0208333
1537895,3.2351,,3.2351,,5.1892,,90,,90,,120,,47.033,2,P 63/m m c,-P 6c 2c,194,,(Pu Zr9)0.2,,- Pu0.2 Zr1.8 -,- Pu0.2 Zr1.8 -,- Pu0.2 Zr1.8 -,1,0.0416667
1537989,3.4,,3.4,,3.4,,90,,90,,90,,39.304,3,I m -3 m,-I 4 2 3,229,,(Hf Nb3 Zr)0.4,,- Hf0.4 Nb1.2 Zr0.4 -,- Hf0.4 Nb1.2 Zr0.4 -,- Hf0.4 Nb1.2 Zr0.4 -,1,0.0104167
1538058,4.578,,4.578,,4.578,,90,,90,,90,,95.946,2,F m -3 m,-F 4 2 3,225,,Zr N,,- N Zr -,- N Zr -,- N4 Zr4 -,4,0.0208333
1538073,5.4109,,3.7488,,9.444,,90,,97.48,,90,,189.936,2,P 1 21/m 1,-P 2yb,11,,Zr Se3,,- Se3 Zr -,- Se3 Zr -,- Se6 Zr2 -,2,0.5
1538283,4.75,,4.75,,4.75,,90,,90,,90,,107.172,3,F m -3 m,-F 4 2 3,225,,U Zr N2,,- N2 U Zr -,- N2 U Zr -,- N4 U2 Zr2 -,2,0.0104167
1538312,11.63,,13.65,,6.878,,90,,90,,90,,1091.88,4,P n n m,-P 2 2n,58,,Zr4 (O H)6 (Cr O4)5 (H2 O)2,,- Cr5 H10 O28 Zr4 -,- Cr5 O28 Zr4 -,- Cr10 O56 Zr8 -,2,0.25
1538329,17.11,,17.11,,7.71,,90,,90,,90,,2257.12,4,P -4 21 c,P -4 2n,114,,Zr O Cl2 (H2 O)8,,- Cl2 H16 O9 Zr -,- Cl2 O9 Zr -,- Cl16 O72 Zr8 -,8,1
1538358,4.806,,5.447,,5.032,,90,,90,,90,,131.729,3,P b c n,-P 2n 2ab,60,,Zr (Ti O4),,- O4 Ti Zr -,- O4 Ti Zr -,- O8 Ti2 Zr2 -,2,0.25
1538367,4.093,,4.093,,4.093,,90,,90,,90,,68.569,3,P m -3 m,-P 4 2 3,221,,Sr (Zr O3),,- O3 Sr Zr -,- O3 Sr Zr -,- O3 Sr Zr -,1,0.0208333
1538369,4.1815,,4.1815,,4.1815,,90,,90,,90,,73.113,3,P m -3 m,-P 4 2 3,221,,Ba (Zr O3),,- Ba O3 Zr -,- Ba O3 Zr -,- Ba O3 Zr -,1,0.0208333
1538393,4.07,,4.07,,4.07,,89.65,,89.65,,89.65,,67.415,4,R 3 m :R,P 3* -2,160,,Pb (Zr0.58 Ti0.42) O3,,- O3 Pb Ti0.42 Zr0.58 -,- O3 Pb Ti0.42 Zr0.58 -,- O3 Pb Ti0.42 Zr0.58 -,1,0.166667
1538428,3.52,,3.52,,7.93,,90,,90,,90,,98.256,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Si O,,- O Si Zr -,- O Si Zr -,- O2 Si2 Zr2 -,2,0.125
1538429,3.55,,3.55,,8.07,,90,,90,,90,,101.702,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Si S,,- S Si Zr -,- S Si Zr -,- S2 Si2 Zr2 -,2,0.125
1538430,3.69,,3.69,,9.56,,90,,90,,90,,130.17,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Si Te,,- Si Te Zr -,- Si Te Zr -,- Si2 Te2 Zr2 -,2,0.125
1538435,3.61,,3.61,,8,,90,,90,,90,,104.257,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Ge S,,- Ge S Zr -,- Ge S Zr -,- Ge2 S2 Zr2 -,2,0.125
1538436,3.69,,3.69,,8.24,,90,,90,,90,,112.197,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Ge Se,,- Ge Se Zr -,- Ge Se Zr -,- Ge2 Se2 Zr2 -,2,0.125
1538437,3.83,,3.83,,8.6,,90,,90,,90,,126.153,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Ge Te,,- Ge Te Zr -,- Ge Te Zr -,- Ge2 Te2 Zr2 -,2,0.125
1538444,9.348,,9.348,,3.5755,,90,,90,,120,,270.586,3,P 63/m,-P 6c,176,,Zr2 Mn12 P7,,- Mn12 P7 Zr2 -,- Mn12 P7 Zr2 -,- Mn12 P7 Zr2 -,1,0.0833333
1538489,4.072,,4.072,,4.072,,90,,90,,90,,67.519,3,P m -3 m,-P 4 2 3,221,,Yb.5 Zr.5 F3.92,,- F3.92 Yb0.5 Zr0.5 -,- F3.9204 Yb0.498 Zr0.498 -,- F3.9204 Yb0.498 Zr0.498 -,1,0.0208333
1538490,4.067,,4.067,,4.067,,90,,90,,90,,67.27,3,P m -3 m,-P 4 2 3,221,,(Yb0.498 Zr0.498) F3.456,,- F3.456 Yb0.498 Zr0.498 -,- F3.456 Yb0.498 Zr0.498 -,- F3.456 Yb0.498 Zr0.498 -,1,0.0208333
1538508,8.226,,8.226,,5.1374,,90,,90,,120,,301.059,5,P 3 2 1,"P 3 2""",150,,La3 (Zr0.5 Ga0.5) Ga3 (Ga1.5 Si0.5) O14,,- Ga5 La3 O14 Si0.5 Zr0.5 -,- Ga5 La3.036 O14 Si0.5 Zr0.5 -,- Ga5 La3.036 O14 Si0.5 Zr0.5 -,1,0.166667
1538517,14.245,,14.245,,30.163,,90,,90,,120,,5300.66,13,R 3 m :H,"R 3 -2""",160,,Na14 Ca6 Zr3 (Fe1.35 Ta0.51) (Si0.78 Nb0.13 W0.09) (Si0.5 Al0.3 Ti0.2) (Si24 O72) (O H)3.52 Cl0.8 (H2 O)1.6,,- Al0.3 Ca6 Cl0.8 Fe1.35 H6.72 Na14 Nb0.13 O77.12 Si25.28 Ta0.51 Ti0.2 W0.09 Zr3 -,- Al0.3 Ca6 Cl0.8 Fe1.35 Na13.98 Nb0.13 O77.09 Si25.28 Ta0.51 Ti0.2 W0.09 Zr3 -,- Al0.9 Ca18 Cl2.4 Fe4.05 Na41.94 Nb0.39 O231.27 Si75.84 Ta1.53 Ti0.6 W0.27 Zr9 -,3,0.166667
1538546,3.753,,3.753,,18.703,,90,,90,,120,,228.139,2,R -3 m :H,"-R 3 2""",166,,Zr3.75 Se6,,- Se6 Zr3.75 -,- Se6 Zr3.75 -,- Se6 Zr3.75 -,1,0.0277778
1538547,3.744,,3.744,,12.51,,90,,90,,120,,151.866,2,P 63 m c,P 6c -2c,186,,Zr2.46 Se4,,- Se4 Zr2.46 -,- Se4 Zr2.46 -,- Se4 Zr2.46 -,1,0.0833333
1538596,7.41,,7.41,,7.41,,90,,90,,90,,406.869,3,F d -3 m :1,F 4d 2 3 -1d,227,,,,- Hf V4 Zr -,- Hf V4 Zr -,- Hf4 V16 Zr4 -,4,0.0208333
1538605,3.887,,3.887,,3.887,,90,,90,,90,,58.728,2,P m -3 m,-P 4 2 3,221,,,,- Rh3 Zr -,- Rh3 Zr -,- Rh3 Zr -,1,0.0208333
1538641,8.69,,8.69,,8.691,,90,,90,,120,,568.382,3,P 63/m m c,-P 6c 2c,194,,Mo3.8 Zr9.2 P,,- Mo3.8 P Zr9.2 -,- Mo3.8 P Zr9.2 -,- Mo7.6 P2 Zr18.4 -,2,0.0833333
1538666,4.551,,4.551,,4.551,,90,,90,,90,,94.258,3,F m -3 m,-F 4 2 3,225,,Hf Zr N2,,- Hf N2 Zr -,- Hf N2 Zr -,- Hf2 N4 Zr2 -,2,0.0104167
1538671,4.434,,4.434,,4.434,,90,,90,,90,,87.174,3,F m -3 m,-F 4 2 3,225,,Ti Zr N2,,- N2 Ti Zr -,- N2 Ti Zr -,- N4 Ti2 Zr2 -,2,0.0104167
1538762,4.642,,4.642,,4.642,,90,,90,,90,,100.027,2,F m -3 m,-F 4 2 3,225,,,,- Pu Zr -,- Pu Zr -,- Pu2 Zr2 -,2,0.0104167
1538807,9.24,,9.24,,23.39,,90,,90,,120,,1729.44,5,R -3 c :H,"-R 3 2""c",167,,Na3.33 Zr1.77 Si1.4 P1.6 O12,,- Na3.33 O12 P1.6 Si1.4 Zr1.77 -,- Na3.339 O12 P1.599 Si1.401 Zr1.77 -,- Na20.034 O72 P9.594 Si8.406 Zr10.62 -,6,0.166667
1538859,9.645,,9.645,,9.645,,90,,90,,90,,897.236,2,I -4 3 m,I -4 2 3,217,,,,- Re24 Zr5 -,- Re24 Zr5 -,- Re48 Zr10 -,2,0.0416667
1538873,5.41,,3.77,,9.45,,90,,97.5,,90,,191.09,2,P 1 21/m 1,-P 2yb,11,,Zr Se3,,- Se3 Zr -,- Se3 Zr -,- Se6 Zr2 -,2,0.5
1538918,7.91,,5.746,,5.745,,106.72,,112.24,,97.98,,222.251,4,P -1,-P 1,2,,Na Pd Zr2 F11,,- F11 Na Pd Zr2 -,- F11 Na Pd Zr2 -,- F11 Na Pd Zr2 -,1,0.5
1538970,5.065,,5.065,,5.065,,90,,90,,90,,129.939,2,F m -3 m,-F 4 2 3,225,,Zr O2,,- O2 Zr -,- O2 Zr -,- O8 Zr4 -,4,0.0208333
1538981,7.346,,7.346,,7.346,,90,,90,,90,,396.417,2,F d -3 m :1,F 4d 2 3 -1d,227,,,,- Ir2 Zr -,- Ir2 Zr -,- Ir16 Zr8 -,8,0.0416667
1539004,6.925,,6.925,,6.925,,90,,90,,90,,332.093,2,F d -3 m :1,F 4d 2 3 -1d,227,,,,- Ni2 Zr -,- Ni2 Zr -,- Ni16 Zr8 -,8,0.0416667
1539006,7.08,,7.08,,7.08,,90,,90,,90,,354.895,3,F d -3 m :1,F 4d 2 3 -1d,227,,,,- Mn Ni Zr -,- Mn Ni Zr -,- Mn8 Ni8 Zr8 -,8,0.0416667
1539013,3.25,,3.25,,3.25,,90,,90,,90,,34.328,2,P m -3 m,-P 4 2 3,221,,,,- Ru Zr -,- Ru Zr -,- Ru Zr -,1,0.0208333
1539035,3.92,,3.92,,3.92,,90,,90,,90,,60.236,2,P m -3 m,-P 4 2 3,221,,,,- Rh3 Zr -,- Rh3 Zr -,- Rh3 Zr -,1,0.0208333
1539121,6.372,,6.372,,3.98,,90,,90,,120,,139.948,3,P -6 2 m,P -6 -2,189,,Zr3 Cu4 Si2,,- Cu4 Si2 Zr3 -,- Cu4 Si2 Zr3 -,- Cu4 Si2 Zr3 -,1,0.0833333
1539133,3.446,,3.446,,9.669,,90,,90,,120,,99.436,2,P -3 m 1,"-P 3 2""",164,,Zr0.667 Cl2,,- Cl2 Zr0.667 -,- Cl2 Zr0.667 -,- Cl2 Zr0.667 -,1,0.0833333
1539152,3.478,,3.478,,3.478,,90,,90,,90,,42.072,3,I m -3 m,-I 4 2 3,229,,(Hf4 Nb3 Zr3)0.2,,- Hf0.8 Nb0.6 Zr0.6 -,- Hf0.8 Nb0.6 Zr0.6 -,- Hf0.8 Nb0.6 Zr0.6 -,1,0.0104167
1539185,2.7558,,2.7558,,4.446,,90,,90,,120,,29.241,2,P 63/m m c,-P 6c 2c,194,,(Re99 Zr)0.02,,- Re1.98 Zr0.02 -,- Re1.98 Zr0.02 -,- Re1.98 Zr0.02 -,1,0.0416667
1539214,5.56,,5.56,,5.56,,90,,90,,90,,171.88,2,P m -3 n,-P 4n 2 3,223,,,,- Hg Zr3 -,- Hg Zr3 -,- Hg2 Zr6 -,2,0.0416667
1539255,5.189,,5.189,,8.526,,90,,90,,120,,198.812,2,P 63/m m c,-P 6c 2c,194,,,,- Os2 Zr -,- Os2 Zr -,- Os8 Zr4 -,4,0.166667
1539258,5.261,,5.261,,8.593,,90,,90,,120,,205.974,2,P 63/m m c,-P 6c 2c,194,,,,- Re2 Zr -,- Re2 Zr -,- Re8 Zr4 -,4,0.166667
1539259,4.537,,4.537,,4.537,,90,,90,,90,,93.391,2,F m -3 m,-F 4 2 3,225,,Zr N,,- N Zr -,- N Zr -,- N4 Zr4 -,4,0.0208333
1539261,5.141,,5.141,,8.509,,90,,90,,120,,194.762,2,P 63/m m c,-P 6c 2c,194,,,,- Ru2 Zr -,- Ru2 Zr -,- Ru8 Zr4 -,4,0.166667
1539279,4.46,,4.46,,4.46,,90,,90,,90,,88.717,2,P m -3 m,-P 4 2 3,221,,,,- In Zr3 -,- In Zr3 -,- In Zr3 -,1,0.0208333
1539364,8.4308,,6.1189,,12.667,,90,,90,,90,,653.455,5,P m n a,-P 2ac 2,53,,(N H4) Sn Zr F7,,- F7 H4 N Sn Zr -,- F7 H4 N Sn Zr -,- F28 H16 N4 Sn4 Zr4 -,4,0.5
1539366,8.375,,5.939,,12.468,,90,,90,,90,,620.147,4,P m n a,-P 2ac 2,53,,K Sn Zr F7,,- F7 K Sn Zr -,- F7 K Sn Zr -,- F28 K4 Sn4 Zr4 -,4,0.5
1539372,10.378,,10.378,,10.378,,90,,90,,90,,1117.74,3,F d -3 m :1,F 4d 2 3 -1d,227,,Cu Zr2 S4,,- Cu S4 Zr2 -,- Cu S4 Zr2 -,- Cu8 S32 Zr16 -,8,0.0416667
1539382,10.3528,,10.3528,,10.3528,,90,,90,,90,,1109.62,5,P 21 3,P 2ac 2ab 3,198,,Pr K2 Zr (P O4)3,,- K2 O12 P3 Pr Zr -,- K2 O12 P3 Pr Zr -,- K8 O48 P12 Pr4 Zr4 -,4,0.333333
1539386,10.1199,,10.1199,,10.1199,,90,,90,,90,,1036.4,5,P 21 3,P 2ac 2ab 3,198,,Rb2 Fe Zr (P O4)3,,- Fe O12 P3 Rb2 Zr -,- Fe O12 P3 Rb2 Zr -,- Fe4 O48 P12 Rb8 Zr4 -,4,0.333333
1539412,6.099,,6.099,,6.099,,90,,90,,90,,226.869,3,F -4 3 m,F -4 2 3,216,,,,- Ni Sn Zr -,- Ni Sn Zr -,- Ni4 Sn4 Zr4 -,4,0.0416667
1539415,12.713,,12.713,,12.7153,,90,,90,,90,,2055.05,5,I 41/a c d :2,-I 4bd 2c,142,,Ca2.4 Ce0.6 Zr2 Fe2.9 O12,,- Ca2.4 Ce0.6 Fe2.9 O12 Zr2 -,- Ca2.36 Ce0.64 Fe2.92 O12 Zr2 -,- Ca18.88 Ce5.12 Fe23.36 O96 Zr16 -,8,0.25
1539417,12.7546,,12.7546,,12.7588,,90,,90,,90,,2075.6,5,I 41/a c d :2,-I 4bd 2c,142,,Ca2.4 Th0.6 Zr2 Fe2.9 O12,,- Ca2.4 Fe2.9 O12 Th0.6 Zr2 -,- Ca2.39 Fe2.96 O12 Th0.61 Zr1.98 -,- Ca19.12 Fe23.68 O96 Th4.88 Zr15.84 -,8,0.25
1539447,6.702,,6.702,,6.702,,90,,90,,90,,301.032,2,F -4 3 m,F -4 2 3,216,,,,- Ni5 Zr -,- Ni5 Zr -,- Ni20 Zr4 -,4,0.0416667
1539462,6.266,,6.266,,6.266,,90,,90,,90,,246.02,3,F m -3 m,-F 4 2 3,225,,,,- Ni2 Sn Zr -,- Ni2 Sn Zr -,- Ni8 Sn4 Zr4 -,4,0.0208333
1539477,10.8146,,10.8146,,5.3741,,90,,90,,90,,628.531,3,P 42/n :1,P 4n -1n,86,,(Zr18 D P6)1.333,,- D1.333 P7.998 Zr23.994 -,- D1.2 P8 Zr24 -,- D1.2 P8 Zr24 -,1,0.125
1539481,10.863,,10.863,,5.4347,,90,,90,,90,,641.321,3,P 42/n :1,P 4n -1n,86,,Zr3 D P,,- D P Zr3 -,- D0.78 P Zr3 -,- D6.24 P8 Zr24 -,8,1
1539488,4.6,,4.6,,4.6,,90,,90,,90,,97.336,2,F m -3 m,-F 4 2 3,225,,Zr N,,- N Zr -,- N Zr -,- N4 Zr4 -,4,0.0208333
1539492,4.73,,4.73,,4.73,,90,,90,,90,,105.824,2,F m -3 m,-F 4 2 3,225,,Zr C,,- C Zr -,- C Zr -,- C4 Zr4 -,4,0.0208333
1539496,4.66,,4.66,,4.66,,90,,90,,90,,101.195,3,F m -3 m,-F 4 2 3,225,,Zr2 C N,,- C N Zr2 -,- C N Zr2 -,- C2 N2 Zr4 -,2,0.0104167
1539555,3.798,,3.798,,6.192,,90,,90,,120,,77.352,2,P -3 m 1,"-P 3 2""",164,,Zr Se2,,- Se2 Zr -,- Se2 Zr -,- Se2 Zr -,1,0.0833333
1539558,6.276,,6.276,,6.276,,90,,90,,90,,247.2,3,F m -3 m,-F 4 2 3,225,,,,- Ni2 Sn Zr -,- Ni2 Sn Zr -,- Ni8 Sn4 Zr4 -,4,0.0208333
1539664,5.276,,5.276,,8.597,,90,,90,,120,,207.246,4,P 63/m m c,-P 6c 2c,194,,(Cr5 Fe15 Zr10 D22)0.4,,- Cr2 D8.8 Fe6 Zr4 -,- Cr1.946 D9.18 Fe6.054 Zr4 -,- Cr1.946 D9.18 Fe6.054 Zr4 -,1,0.0416667
1539740,7.615,,7.615,,7.615,,90,,90,,90,,441.58,2,F d -3 m :1,F 4d 2 3 -1d,227,,,,- W2 Zr -,- W2 Zr -,- W16 Zr8 -,8,0.0416667
1539772,6.4875,,6.4875,,5.2656,,90,,90,,90,,221.617,2,I 4/m c m,-I 4 2c,140,,,,- Ni Zr2 -,- Ni Zr2 -,- Ni4 Zr8 -,4,0.125
1539805,3.11,,3.11,,4.901,,90,,90,,120,,41.052,2,P 63/m m c,-P 6c 2c,194,,,,- Ti Zr -,- Ti Zr -,- Ti Zr -,1,0.0416667
1539826,12.24,,12.24,,4.925,,90,,90,,120,,638.998,9,P 63,P 6c,173,,(Mg.49 Fe.03 Ti.6 Zr.02) Mg6 Al6 (Si7.95 P.05 O28) (O H)9.57 O.43,,- Al6 Fe0.03 H9.57 Mg6.49 O38 P0.05 Si7.95 Ti0.6 Zr0.02 -,- Al6 Fe0.03 Mg6.49 O38 P0.0496 Si7.9504 Ti0.6 Zr0.02 -,- Al6 Fe0.03 Mg6.49 O38 P0.0496 Si7.9504 Ti0.6 Zr0.02 -,1,0.166667
1539828,7.439,,7.439,,7.439,,90,,90,,90,,411.665,2,F d -3 m :1,F 4d 2 3 -1d,227,,,,- V2 Zr -,- V2 Zr -,- V16 Zr8 -,8,0.0416667
1539831,3.5916,,3.5916,,5.179,,90,,90,,90,,66.807,2,P 42/n m c :2,-P 4ac 2a,137,,Zr O2,,- O2 Zr -,- O2 Zr -,- O4 Zr2 -,2,0.125
1539841,3.03,,3.03,,4.83,,90,,90,,120,,38.403,2,P 63/m m c,-P 6c 2c,194,,(Ti7 Zr3)0.2,,- Ti1.4 Zr0.6 -,- Ti1.4 Zr0.6 -,- Ti1.4 Zr0.6 -,1,0.0416667
1539854,3.763,,3.763,,3.862,,90,,90,,120,,47.36,2,P -6 m 2,P -6 2,187,,Zr Te,,- Te Zr -,- Te Zr -,- Te Zr -,1,0.0833333
1539865,8.8386,,8.8386,,22.286,,90,,90,,120,,1507.75,4,R -3 :H,-R 3,148,,Cd0.5 Zr2 (P O4)3,,- Cd0.5 O12 P3 Zr2 -,- Cd0.5 O12 P3 Zr2 -,- Cd3 O72 P18 Zr12 -,6,0.333333
1539909,13.852,,3.657,,10.213,,90,,90,,90,,517.358,3,P n m a,-P 2ac 2n,62,,Ni0.95 Zr4 P2,,- Ni0.95 P2 Zr4 -,- Ni0.95 P2 Zr4 -,- Ni3.8 P8 Zr16 -,4,0.5
1539929,12.5985,,15.7448,,3.61256,,90,,90,,90,,716.591,2,P n n m,-P 2 2n,58,,Zr2 Se,,- Se Zr2 -,- Se Zr2 -,- Se12 Zr24 -,12,1.5
1540040,3.953,,3.953,,6.647,,90,,90,,120,,89.952,2,P 63/m m c,-P 6c 2c,194,,Zr Te,,- Te Zr -,- Te Zr -,- Te2 Zr2 -,2,0.0833333
1540064,8.809,,8.809,,22.929,,90,,90,,120,,1540.88,5,R -3 c :H,"-R 3 2""c",167,,Na1.1 Zr2 P2.89 Si.11 O12,,- Na1.1 O12 P2.89 Si0.11 Zr2 -,- Na1.144 O12 P2.889 Si0.111 Zr2 -,- Na6.864 O72 P17.334 Si0.666 Zr12 -,6,0.166667
1540198,3.278,,3.278,,5.41,,90,,90,,120,,50.344,3,P 63/m m c,-P 6c 2c,194,,Zr4 D3 N2,,- D3 N2 Zr4 -,- D3.08 N2 Zr4 -,- D3.08 N2 Zr4 -,1,0.0416667
1540229,6.97,,6.97,,6.97,,90,,90,,90,,338.609,3,F d -3 m :1,F 4d 2 3 -1d,227,,(Co50 Fe17 Zr33)0.24,,- Co12 Fe4.08 Zr7.92 -,- Co12 Fe4 Zr8 -,- Co12 Fe4 Zr8 -,1,0.00520833
1540230,3.336,,3.336,,3.336,,90,,90,,90,,37.126,2,P m -3 m,-P 4 2 3,221,,,,- Zn Zr -,- Zn Zr -,- Zn Zr -,1,0.0208333
1540268,14.9684,,9.9672,,3.8813,,90,,90,,90,,579.063,2,P n n m,-P 2 2n,58,,Zr Sb2,,- Sb2 Zr -,- Sb2 Zr -,- Sb16 Zr8 -,8,1
1540276,3.692,,3.692,,8.499,,90,,90,,90,,115.849,3,P 4/n m m :1,P 4ab 2ab -1ab,129,,Zr Si Te,,- Si Te Zr -,- Si Te Zr -,- Si2 Te2 Zr2 -,2,0.125
1540280,11.433,,7.935,,7.46,,90,,122.32,,90,,571.928,3,C 1 2/c 1,-C 2yc,15,,Zr (Mo O4)2,,- Mo2 O8 Zr -,- Mo2 O8 Zr -,- Mo8 O32 Zr4 -,4,0.5
1540309,3.52,,3.52,,4.45,,90,,90,,90,,55.137,2,I 4/m m m,-I 4 2,139,,Zr H2,,- H2 Zr -,- H2 Zr -,- H4 Zr2 -,2,0.0625
1540339,3.025,,3.025,,3.025,,90,,90,,90,,27.681,2,I m -3 m,-I 4 2 3,229,,(V99 Zr)0.02,,- V1.98 Zr0.02 -,- V1.974 Zr0.026 -,- V1.974 Zr0.026 -,1,0.0104167
1540342,5.015,,5.015,,5.015,,90,,90,,90,,126.128,2,F m -3 m,-F 4 2 3,225,,(Th17 Zr3)0.2,,- Th3.4 Zr0.6 -,- Th3.4 Zr0.6 -,- Th3.4 Zr0.6 -,1,0.00520833
1540416,3.63249,0.00005,3.63249,0.00005,5.22879,0.00009,90,,90,,90,,68.9938,3,P 42/n m c :1,P 4n 2n -1n,137,,Zr0.85 Ce0.15 O2,,- Ce0.15 O2 Zr0.85 -,- Ce0.15 O2 Zr0.85 -,- Ce0.3 O4 Zr1.7 -,2,0.125
