file,a,siga,b,sigb,c,sigc,alpha,sigalpha,beta,sigbeta,gamma,siggamma,vol,nel,sg,sgHall,sgNumber,commonname,chemname,mineral,formula,calcformula,cellformula,Z,Zprime
1516997,12.7194,0.0002,22.1936,0.0006,18.2873,0.0006,90,,97.899,0.002,90,,5113.3,6,P 1 21/n 1,-P 2yn,14,,,,- C58 H58 Cl2 N4 O2 Zr -,- C58 H42 Cl2 N4 O2 Zr -,- C232 H168 Cl8 N16 O8 Zr4 -,4,1
1517767,11.1666,0.0006,25.646,0.0012,11.1679,0.0006,90,,99.532,0.002,90,,3154.1,4,P 1 21 1,P 2yb,4,,,,- C54 H68 O32 Zr7 -,- C54 H68 O32 Zr7 -,- C108 H136 O64 Zr14 -,2,1
1517768,15.2956,0.0007,15.6974,0.0007,17.2726,0.0013,96.136,0.002,109.816,0.002,118.556,0.001,3240.4,7,P -1,-P 1,2,,,,- C57 H58 B Cl2 F20 O13.5 Zr3 -,- C56 H56 B F20 O13.5 Zr3 -,- C112 H112 B2 F40 O27 Zr6 -,2,1
1518038,7.504,0.004,7.504,0.004,15.008,0.007,90,,90,,120,,731.9,4,P 63/m m c,-P 6c 2c,194,,,,- F22 O2 Pb Zr6 -,- F22 O2 Pb Zr6 -,- F44 O4 Pb2 Zr12 -,2,0.0833333
1518054,7.671,0.005,7.671,0.005,12.49,0.01,90,,90,,120,,636.5,4,P 63 m c,P 6c -2c,186,,,,- F7.92 O2.08 Pb0.04 Zr3 -,- F8.15 O1.85 Pb0.0425 Zr3 -,- F32.6 O7.4 Pb0.17 Zr12 -,4,0.333333
1518198,13.991,0.003,6.494,0.001,20.814,0.005,90,,125.24,0.02,90,,1544.5,5,P 1 2/c 1,-P 2yc,13,,,,- K5 Nb6 O34 P5 Zr2 -,- K4.94 Nb6 O34 P5 Zr2 -,- K9.88 Nb12 O68 P10 Zr4 -,2,0.5
1518203,8.012,0.006,8.012,0.006,11.603,0.004,90,,90,,90,,744.8,4,P 4/n b m :2,-P 4a 2b,125,,,,- F22 Li Tl Zr5 -,- F22 Li Tl Zr5 -,- F44 Li2 Tl2 Zr10 -,2,0.125
1518841,17.6285,0.00016,10.81736,0.0001,30.9896,0.0003,90,,90,,90,,5909.53,8,P c a 21,P 2c -2ac,29,,,,- C28 H33 F3 N3 O3 P S Zr -,- C28 H33 F3 N3 O3 P S Zr -,- C224 H264 F24 N24 O24 P8 S8 Zr8 -,8,2
1518878,8.8424,0.0006,12.4631,0.0009,16.1075,0.0012,105.517,0.004,91.645,0.003,106.554,0.003,1628.9,8,P -1,-P 1,2,,compound Zr-1,,- C34 H39 B Cl2 N2 O Si Zr -,- C34 H39 B Cl2 N2 O Si Zr -,- C68 H78 B2 Cl4 N4 O2 Si2 Zr2 -,2,1
1518879,9.9361,0.0007,12.4723,0.0008,15.9,0.0011,84.293,0.003,73.108,0.003,83.935,0.003,1870,7,P -1,-P 1,2,,compound Zr-2,,- C40 H47 B Cl2 N2 Si Zr -,- C40 H47 B Cl2 N2 Si Zr -,- C80 H94 B2 Cl4 N4 Si2 Zr2 -,2,1
1518944,25.577,0.005,6.6615,0.0013,14.001,0.003,90,,94.62,0.004,90,,2377.8,5,C 1 2/c 1,-C 2yc,15,,,,- C22 H34 Cl2 O4 Zr -,- C22 H34 Cl2 O4 Zr -,- C88 H136 Cl8 O16 Zr4 -,4,0.5
1518956,25.4376,0.0001,25.4376,0.0001,25.4376,0.0001,90,,90,,90,,16459.9,5,P m -3 m,-P 4 2 3,221,,,,- C216 H130 N12 O32 Zr6 -,- C216 H120 N12 O32 Zr6 -,- C216 H120 N12 O32 Zr6 -,1,0.0208333
1518957,25.4213,0.0002,25.4213,0.0002,25.4213,0.0002,90,,90,,90,,16428.3,6,P m -3 m,-P 4 2 3,221,,,,- C216 H124 Cu3 N12 O32 Zr6 -,- C216 H120 Cu3 N12 O32 Zr6 -,- C216 H120 Cu3 N12 O32 Zr6 -,1,0.0208333
1519026,24.3557,0.0007,10.0135,0.0001,18.6388,0.0006,90,,92.37,0.002,90,,4541.9,5,C 1 2/c 1,-C 2yc,15,,,,- B Br16 H39 O18 Zr6 -,,,4,0.5
1519129,12.075,0.006,15.42,0.002,15.571,0.004,90,,99.36,0.02,90,,2860.7,4,P 1 21/n 1,-P 2yn,14,,,,- C22 H44 Si4 Zr -,- C22 H42 Si4 Zr -,- C88 H168 Si16 Zr4 -,4,1
1519153,12.353,0.003,12.392,0.004,18.1099,0.0016,83.286,0.014,82.649,0.014,74.12,0.012,2634.8,6,P -1,-P 1,2,,,,- C36 H76 Co2 O18 P6 Zr -,- C36 H76 Co2 O18 P6 Zr -,- C72 H152 Co4 O36 P12 Zr2 -,2,1
